level,categorical_encoding,rank_Average,f1_mean_Average,f1_std_Average,rank_Single,f1_mean_Single,f1_std_Single,rank_Single_OA,f1_mean_Single_OA,f1_std_Single_OA,rank_Order,f1_mean_Order,f1_std_Order,rank_Attribute,f1_mean_Attribute,f1_std_Attribute,rank_Arrival Time,f1_mean_Arrival Time,f1_std_Arrival Time,rank_Workload,f1_mean_Workload,f1_std_Workload,run_time_mean,run_time_std
trace,One-Hot,3.94,0.22904836223423025,0.09301682784113834,4.28,0.5015554649347631,0.09752031610314583,4.28,0.17744906542715594,0.12526333597102576,4.89,0.17574272702004068,0.12361576916763453,3.56,0.18445889119067763,0.12873261682430706,5.44,0.1455339963580582,0.10469221892295907,2.17,0.4104578343681446,0.02847969232964247,94.59405982759264,29.467712670377455
trace,Word2Vec C,3.33,0.22554113841496892,0.09591063463033284,4.0,0.5052026633412044,0.10194695423413294,1.89,0.19486252343996074,0.13177936143919775,4.28,0.177187474793941,0.12447930189260499,2.0,0.20039827213493158,0.13126866097942116,2.17,0.16254631680826856,0.11414875339731771,4.94,0.36833774711329126,0.03367427209344399,60.045330316219754,14.726632647367039
trace,Word2Vec ATC,2.78,0.23137835941820364,0.09437831336370116,2.67,0.5362737652885032,0.07571663074424315,5.11,0.17513963722948145,0.12287945701223191,2.61,0.1851707072294449,0.1285819384098816,5.44,0.1742430198895089,0.12350571085293352,2.72,0.1532373275662886,0.10550406707890268,2.44,0.4128623829875721,0.03749439946201534,75.69968491395313,14.957580669680729
trace,Trace2Vec C,2.67,0.22727615415844848,0.09599636726875677,2.89,0.5100005725946491,0.09975545841396737,1.83,0.1973834362033762,0.13262311308417907,2.06,0.19239535365712032,0.12413045197859494,2.06,0.19626367723283547,0.13294150420643927,4.61,0.1510923688095173,0.1025941704109307,3.28,0.37896280839216473,0.03770255402231326,60.145340935572115,14.906362802088152
trace,Trace2Vec ATC,3.83,0.2280778435624825,0.09459621167954987,3.11,0.535241683245902,0.07637960553379987,5.17,0.17495616247032575,0.12299642312133928,2.83,0.18503783451944297,0.12875674939120346,5.17,0.17429984782616284,0.1233986736608927,3.61,0.15116308867598324,0.10409612450305927,3.44,0.40181060322834095,0.037772397642261375,76.99314031336043,15.631726701085872
trace,Fixed-Vector,4.44,0.222117250040566,0.09370000624785244,4.06,0.5017525689662601,0.10036718124801851,2.72,0.18558100201116853,0.12564075060509944,4.33,0.1758931452541342,0.12205442702110832,2.78,0.18649535220559288,0.12381098646281205,2.44,0.16170641128564192,0.11270743116001498,4.72,0.364374091416895,0.03800734706456406,76.12677987151676,23.36574107156538
event,One-Hot,3.11,0.06462270426779673,0.026550333657063777,3.44,0.1534093164738522,0.04327099516199608,3.72,0.048981096302608045,0.03604307994597342,3.61,0.049235069262616046,0.03629909685305923,3.72,0.048831138711982934,0.036467363556678095,5.56,0.029896533220616417,0.02290735877826749,1.72,0.13052807587597154,0.030467222183959378,94.59405982759264,29.467712670377455
event,Word2Vec C,4.22,0.05477676581684337,0.024601819047812654,4.11,0.14682058514783786,0.04991425270856821,2.72,0.05166689574437805,0.03701035984266017,4.78,0.046808933199016065,0.03505481519760595,1.83,0.055570348902951296,0.03737003456757836,3.89,0.03124404880562264,0.022343271931085325,5.06,0.08528029507136335,0.008142613265965314,60.045330316219754,14.726632647367039
event,Word2Vec ATC,1.56,0.06495674994241665,0.02583697952943772,1.5,0.1920572518084687,0.03829649447855683,3.22,0.04938002692402565,0.035350624668446635,3.11,0.05007130438858288,0.03481509136280142,3.61,0.04916935214094451,0.03555439344217454,2.44,0.03331185766378404,0.023939708346772937,2.28,0.12727448557635518,0.0272044717119245,75.69968491395313,14.957580669680729
event,Trace2Vec C,5.17,0.05352895441543081,0.024644119130984066,4.83,0.14547637891022056,0.049422994731038,3.22,0.05047188999335647,0.03630154132100332,3.56,0.048374132688066916,0.03443345452537201,3.39,0.050468353131436716,0.0361338689351363,4.22,0.031389080859800265,0.023054678967023623,5.06,0.08475493066825783,0.008500778082410296,60.145340935572115,14.906362802088152
event,Trace2Vec ATC,1.61,0.06520365072512338,0.02630405107702664,1.5,0.19165124591529295,0.0391227252462173,3.17,0.049406110664477226,0.03532253196527365,3.44,0.050017436310081605,0.034873316584432885,3.39,0.0492148498137169,0.03550879092465954,2.17,0.03339398677995275,0.02408883278201712,2.06,0.12818832999674223,0.02734377948170116,76.99314031336043,15.631726701085872
