level&categorical_encoding&rank_Average&f1_mean_Average&f1_std_Average&rank_Single&f1_mean_Single&f1_std_Single&rank_Single_OA&f1_mean_Single_OA&f1_std_Single_OA&rank_Order&f1_mean_Order&f1_std_Order&rank_Attribute&f1_mean_Attribute&f1_std_Attribute&rank_Arrival Time&f1_mean_Arrival Time&f1_std_Arrival Time&rank_Workload&f1_mean_Workload&f1_std_Workload&run_time_mean&run_time_std
trace&One-Hot&3.94&0.229&0.093&4.28&0.502&0.098&4.28&0.177&0.125&4.89&0.176&0.124&3.56&0.184&0.129&5.44&0.146&0.105&2.17&0.41&0.028&94.594&29.468
trace&Word2Vec C&3.33&0.226&0.096&4.0&0.505&0.102&1.89&0.195&0.132&4.28&0.177&0.124&2.0&0.2&0.131&2.17&0.163&0.114&4.94&0.368&0.034&60.045&14.727
trace&Word2Vec ATC&2.78&0.231&0.094&2.67&0.536&0.076&5.11&0.175&0.123&2.61&0.185&0.129&5.44&0.174&0.124&2.72&0.153&0.106&2.44&0.413&0.037&75.7&14.958
trace&Trace2Vec C&2.67&0.227&0.096&2.89&0.51&0.1&1.83&0.197&0.133&2.06&0.192&0.124&2.06&0.196&0.133&4.61&0.151&0.103&3.28&0.379&0.038&60.145&14.906
trace&Trace2Vec ATC&3.83&0.228&0.095&3.11&0.535&0.076&5.17&0.175&0.123&2.83&0.185&0.129&5.17&0.174&0.123&3.61&0.151&0.104&3.44&0.402&0.038&76.993&15.632
trace&Fixed-Vector&4.44&0.222&0.094&4.06&0.502&0.1&2.72&0.186&0.126&4.33&0.176&0.122&2.78&0.186&0.124&2.44&0.162&0.113&4.72&0.364&0.038&76.127&23.366
event&One-Hot&3.11&0.065&0.027&3.44&0.153&0.043&3.72&0.049&0.036&3.61&0.049&0.036&3.72&0.049&0.036&5.56&0.03&0.023&1.72&0.131&0.03&94.594&29.468
event&Word2Vec C&4.22&0.055&0.025&4.11&0.147&0.05&2.72&0.052&0.037&4.78&0.047&0.035&1.83&0.056&0.037&3.89&0.031&0.022&5.06&0.085&0.008&60.045&14.727
event&Word2Vec ATC&1.56&0.065&0.026&1.5&0.192&0.038&3.22&0.049&0.035&3.11&0.05&0.035&3.61&0.049&0.036&2.44&0.033&0.024&2.28&0.127&0.027&75.7&14.958
event&Trace2Vec C&5.17&0.054&0.025&4.83&0.145&0.049&3.22&0.05&0.036&3.56&0.048&0.034&3.39&0.05&0.036&4.22&0.031&0.023&5.06&0.085&0.009&60.145&14.906
event&Trace2Vec ATC&1.61&0.065&0.026&1.5&0.192&0.039&3.17&0.049&0.035&3.44&0.05&0.035&3.39&0.049&0.036&2.17&0.033&0.024&2.06&0.128&0.027&76.993&15.632
event&Fixed-Vector&5.33&0.054&0.024&5.61&0.142&0.047&4.94&0.046&0.033&2.5&0.05&0.036&5.06&0.046&0.032&2.72&0.033&0.024&4.83&0.087&0.008&76.127&23.366
attribute&One-Hot&3.56&0.033&0.017&2.5&0.03&0.013&2.11&0.027&0.019&5.44&0.037&0.027&3.22&0.019&0.014&5.56&0.03&0.023&2.33&0.044&0.014&94.594&29.468
attribute&Word2Vec C&4.56&0.031&0.018&5.0&0.026&0.011&2.78&0.025&0.018&3.78&0.043&0.032&1.78&0.022&0.014&3.89&0.031&0.022&5.39&0.028&0.003&60.045&14.727
attribute&Word2Vec ATC&2.44&0.036&0.018&2.17&0.029&0.011&4.39&0.023&0.017&3.39&0.044&0.032&3.56&0.019&0.014&2.44&0.033&0.024&2.0&0.048&0.016&75.7&14.958
attribute&Trace2Vec C&3.56&0.033&0.018&4.89&0.026&0.011&3.72&0.024&0.017&1.33&0.054&0.032&4.11&0.019&0.013&4.22&0.031&0.023&4.44&0.028&0.004&60.145&14.906
attribute&Trace2Vec ATC&2.22&0.036&0.018&2.0&0.029&0.011&4.0&0.023&0.017&3.56&0.044&0.032&3.28&0.019&0.014&2.17&0.033&0.024&1.72&0.048&0.015&76.993&15.632
attribute&Fixed-Vector&4.67&0.031&0.017&4.44&0.026&0.01&4.0&0.024&0.016&3.5&0.045&0.029&5.06&0.018&0.013&2.72&0.033&0.024&5.11&0.029&0.005&76.127&23.366
combined&One-Hot&3.94&0.109&0.044&3.78&0.228&0.05&3.94&0.084&0.061&4.94&0.087&0.063&3.61&0.084&0.061&5.67&0.068&0.051&2.11&0.195&0.023&94.594&29.075
combined&Word2Vec C&3.89&0.104&0.045&4.5&0.225&0.054&1.72&0.09&0.063&4.33&0.089&0.064&1.5&0.092&0.061&2.33&0.075&0.054&5.17&0.159&0.014&59.435&11.907
combined&Word2Vec ATC&1.78&0.111&0.046&1.22&0.253&0.04&4.78&0.082&0.06&2.94&0.093&0.066&5.11&0.081&0.059&2.89&0.073&0.052&2.06&0.196&0.024&75.7&14.699
combined&Trace2Vec C&3.44&0.105&0.045&4.28&0.226&0.053&2.17&0.09&0.063&1.83&0.097&0.065&2.17&0.087&0.062&4.72&0.07&0.051&3.89&0.164&0.015&59.519&12.14
combined&Trace2Vec ATC&2.61&0.11&0.046&1.78&0.252&0.04&4.78&0.082&0.06&3.28&0.093&0.066&4.72&0.081&0.059&3.28&0.073&0.052&2.72&0.193&0.023&76.993&15.373
combined&Fixed-Vector&5.33&0.102&0.044&5.44&0.223&0.052&3.61&0.085&0.059&3.67&0.09&0.063&3.89&0.083&0.057&2.11&0.076&0.054&5.06&0.16&0.016&76.127&18.112
